year,name,label,keyword,ner
105,自然科學研究發展(1/1),能源,,"2016, 兩岸, 行政院, 行政院, 台菲"
105,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會"
105,能源國家型科技計畫-能源主軸與產業需求科技研究(3/5),能源,,
105,能源國家型科技計畫—永續能源技術與策略發展應用計畫(1/3),能源,,
105,核電營運安全領域關鍵技術發展綱要計畫(3/4),能源,,
105,核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源,,
105,放射性廢棄物貯存與處置安全管制技術發展(1/4),能源,,
105,依法執行核設施清理作業(3/4),能源,,
105,原子能科技學術合作研究計畫(1/1),能源,,
105,核設施除役之輻射安全與人員生物劑量評估技術研究(4/4),能源,,
105,核能電廠安全管制法規與技術研究計畫(1/4),能源,,
105,核能技術及核電廠除役之安全強化研究(2/4),能源,,
105,能源國家型科技計畫(2/4)-新及再生能源技術研發,能源,,
105,能源國家型科技計畫—節約能源技術研發(2/4),能源,,
105,105年度「學界及業界能源科技研究發展計畫」(1/1),能源,,
105,105年度「再生能源發展與推廣計畫」(1/1),能源,,
105,105年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源,,
106,深度減碳之研發(1/4),能源,,
106,深度減碳，邁向永續社會(1/4),能源,,
106,產品碳足跡揭露服務計畫(碳足跡雲)(3/4),能源,,
106,創新低碳綠建築環境科技計畫(3/4),能源,,
106,能源科技人才培育計畫(4/4),能源,,
106,奈米材料產業技術發展綱要計畫(3/4),能源,,
106,石化產業高値化系統技術與應用發展計畫(4/4),能源,,
106,能源國家型科技計畫-能源產業技術發展綱要計畫(4/5),能源,,
106,電子光電產業科技發展綱要計畫(2/4),能源,,
106,綠色循環與二氧化碳新碳源創新材料計畫(1/4),能源,,
106,綠能科技產業推動中心營運計畫(1/1),能源,,
106,智慧電動車輛產業推動計畫(3/4),能源,,
106,能源國家型科技計畫-產業溫室氣體減量推動計畫(4/5),能源,,
106,製造業產品環境足跡與資源永續推動計畫(3/4),能源,,
106,產業綠色成長推動計畫(1/4),能源,,
106,產業永續發展計畫(1/4),能源,,
106,工業減碳領航計畫(1/4),能源,,
106,產業園區能資源整合及工業安全推動計畫(1/4),能源,,
106,綠色工廠與資源再生綠色產品推動計畫(2/4),能源,,
106,材料與化工產業整合發展計畫(1/4),能源,,
106,新世代化學應用材料產業輔導與推廣計畫(2/4),能源,,
106,能源國家型科技計畫-再生能源產業推動計畫(1/2),能源,,
106,推動兩岸標準計量檢驗認證合作計畫(4/4),能源,,
106,能源國家型計畫-新興能源產品檢測標準與驗證技術計畫(1/2),能源,,
106,再生能源憑證中心及檢測驗證發展計畫(1/4),能源,,
106,服務業能源管理與技術輔導計畫(4/4),能源,,
106,離岸風場區塊開發海域環境建構計畫(1/1),能源,,
106,沙崙綠能科學城-綠能科技示範場域旗艦計畫(1/4),能源,,
106,臺灣東北海域礦產資源潛能調查(2/4),能源,,
106,提升中小企業節能減碳能力輔導計畫(4/4),能源,,
106,低碳排放之無機聚合綠色水泥及混凝土製備研究(2/4),能源,,
106,能源國家型科技計畫-低碳運輸系統發展計畫(3/4),能源,,
106,強化區域合作─推動中南部智慧機械及航太產業升級計畫(1/4),能源,,
106,綠能科技前瞻研究計畫(1/4),能源,,
106,台灣光子源綠能生醫旗艦計畫(1/4),能源,,
106,循環材料之高值化計畫(1/4),能源,,
106,綠能科技產學研鏈結計畫(1/1),能源,,
106,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會"
106,能源國家型科技計畫-能源主軸與產業需求科技研究(4/5),能源,,
106,中部科學工業園區業務推展(1/1),能源,,
106,新竹科學工業園區業務推展(1/1),能源,,
106,能源國家型科技計畫—永續能源技術與策略發展應用計畫(2/3),能源,,
106,原子能系統工程跨域整合發展計畫(1/4),能源,,
106,核能電廠安全管制法規與技術研究計畫(2/4),能源,,
106,原子能科技學術合作研究計畫(1/1),能源,,
106,放射性廢棄物貯存與處置安全管制技術發展(2/4),能源,,
106,核能技術及核電廠除役之安全強化研究(3/4),能源,,
106,綠能科技深化研發與示範應用計畫(1/4),能源,,
106,農業資源循環暨農能共構之產業創新(1/4),能源,,
106,能源國家型科技計畫—新及再生能源技術研發(3/4),能源,,
106,106年度「業界能源科技研究發展計畫」(1/1),能源,,
106,106年度「再生能源開發與推廣計畫」(1/1),能源,,
106,能源國家型科技計畫—節約能源技術研發(3/4),能源,,
106,106年度「能源效率管理與節能技術推廣輔導」(1/1),能源,,
107,深度減碳，邁向永續社會(2/4),能源,,
107,產品碳足跡揭露服務計畫(碳足跡雲)(4/4),能源,,
107,創新低碳綠建築環境科技計畫(4/4),能源,,
107,潔能系統整合與應用人才培育計畫(1/4),能源,,
107,綠色循環與二氧化碳新碳源創新材料計畫(2/4),能源,,
107,能源國家型科技計畫-能源產業技術發展綱要計畫(5/5),能源,,
107,民生產業特用化學品開發與應用設備綱要計畫(1/4),能源,,
107,產業創新新材料開發計畫(1/4),能源,,
107,能源國家型科技計畫-再生能源產業推動計畫(2/2),能源,,
107,新世代化學材料產業輔導與推廣計畫(3/4),能源,,
107,智慧電動車輛產業推動計畫(4/4),能源,,
107,工業減碳領航計畫(2/4),能源,,
107,能源國家型科技計畫-產業溫室氣體減量推動計畫(5/5),能源,,
107,產業永續發展計畫(2/4),能源,,
107,材料與化工產業整合發展計畫(2/4),能源,,
107,再生能源憑證中心及檢測驗證發展計畫(2/4),能源,,
107,新興能源產品檢測標準與驗證技術計畫(2/2),能源,,
107,再生能源投(融)資第三方檢測驗證中心計畫(2/4),能源,,
107,服務業能源管理與技術輔導計畫(1/4),能源,,
107,離岸風場區塊開發海域環境建構計畫(2/4),能源,,
107,沙崙綠能科學城-綠能科技示範場域旗艦計畫(2/4),能源,,
107,沙崙綠能科學城-綠能科技產業化技術驗證平台(1/3),能源,,
107,區域性儲能設備技術示範驗證計畫(2/8),能源,,
107,低碳排放之無機聚合綠色水泥及混凝土製備研究(3/4),能源,,
107,低碳運輸系統發展計畫(4/4),能源,,
107,循環材料之高值化(2/4),能源,,
107,綠能科技創新研究與服務平台計畫(2/4),能源,,
107,科學城低碳智慧環境基礎建置－科技計畫部份(2/5),能源,,
107,重點產業高階人才培訓與就業計畫(2/5),能源,,
107,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會"
107,能源國家型科技計畫-能源主軸與產業需求科技研究(5/5),能源,,
107,台灣光子源綠能生醫旗艦計畫(2/4),能源,,
107,中部科學工業園區業務推展計畫(1/1),能源,,
107,原子能系統工程跨域整合發展計畫(2/4),能源,,
107,核能技術及核電廠除役之安全強化研究(4/4),能源,,
107,原子能科技學術合作研究計畫(1/1),能源,,
107,放射性廢棄物貯存與處置安全管制技術發展(3/4),能源,,
