year,name,label,keyword,ner,tf_idf
104,新竹科學工業園區－業務推展(1/1),能源,,,"園區, 環境, 廠商, 競爭力, 科學園區"
104,南科綠能低碳產業聚落推動計畫(3/4),能源,,,"廠商, 綠能, 低碳, 產品, 機構"
104,十二年一貫綠色科技明日典範學校(3/4),能源,,,"綠色, 科技, 創意, 環境, 課程"
104,中部科學工業園區業務推展(1/1),能源,,,"人才, 園區, 環境, 場域, 廠商"
104,國立科學工業園區實驗高級中學綠能科技教學拓展計畫(2/2),能源,,,"綠能, 雙語部, 教育, 教室, 空間"
104,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會","辦公室, 工作, 國家型, 科技, 成果"
104,能源國家型科技計畫-能源主軸與產業需求科技研究(2/5),能源,,,"能源, 主軸, 中心, 智慧, 科技"
104,能源國家型科技計畫-太陽光電技術發展與應用(2/5),能源,,,"太陽, 電池, 模組, 製程, 太陽能"
104,核電營運安全領域關鍵技術發展綱要計畫(2/4),能源,,,"能源, 核電, 核電廠, 政策, 核災"
104,能源國家型科技計畫-高效率固態氧化物燃料電池技術開發暨產業化平台建構(2/5),能源,,,"電池, 裝置, 效率, 粉末, 高效率"
104,能源國家型科技計畫-碳基能源永續潔淨利用技術發展(2/5),能源,,,"程序, 性能, 中高溫, 二氧化碳, 碳"
104,能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(2/5),能源,,,"電力, 分散型, 能源, 代理人, 微電網"
104,能源國家型科技計畫-我國能源科技及產業政策評估能力建置(4/4),能源,,,"能源, 智慧, 電網, 模型, 經濟"
104,依法執行核設施清理作業(2/4),能源,,,"廢棄物, 放射性, 設施, 作業, 核"
104,能源國家型科技計畫-風能系統工程技術開發與研究(2/5),能源,,,"風機, 工程, 能力, 科技, 軸風機"
104,核設施除役產生放射性廢棄物處理與處置技術研發(1/4),能源,,,"廢棄物, 設施, 核, 放射性, 環境"
104,精進放射性物料安全管制技術發展(4/4),能源,,,"放射性, 廢棄物, 核子, 燃料, 物料"
104,核能安全管制技術發展研究(4/4),能源,,,"核電廠, 核能, 能力, 核安, 事故"
104,核能技術及後端處置之安全強化研究(1/4),能源,,,"反應器, 分項, 事故, 進步型, 圍阻體"
104,核設施除役之輻射安全與人員生物劑量評估技術研究(3/4),能源,,,"劑量, 輻射, 人員, 生物, 設施"
104,輻射事故緊急應變管制技術發展(4/4),能源,,,"輻射, 事故, 能力, 核種, 模式"
104,原子能科技學術合作研究計畫(1/1),能源,,,"科技, 核能, 輻射, 領域, 學術"
104,能源國家型科技計畫—新及再生能源技術研發(1/4),能源,,,"經費, 能源, 國家型, 科技, 總經費"
104,104年度「學界及業界能源科技研究發展計畫」(1/1),能源,,,"能源, 科技, 業界, 經費, 總經費"
104,104年度「再生能源發展與推廣計畫」(1/1),能源,,,"經費, 能源, 科技, 太陽, 光電"
104,能源國家型科技計畫—節約能源技術研發(1/4),能源,,,"能源, 國家型, 科技, 總經費, 基金"
104,104年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源,,,"能源, 效率, 策略, 高效率, 馬達"
104,虛擬電廠低碳能源調度決策技術發展與研究(1/1),能源,,,"能源, 電廠, 電力, 需量, 反應"
105,產品碳足跡揭露服務計畫(碳足跡雲)(2/4),能源,,,"碳足跡, 平台, 係數, 碳, 資料庫"
105,創新低碳綠建築環境科技計畫(2/4),能源,,,"建築, 科技, 環境, 材料, 生態"
105,能源科技人才培育計畫(3/4),能源,,,"能源, 教育, 知識, 種子, 教師"
105,能源國家型科技計畫-能源產業技術發展綱要計畫(3/5),能源,,,"平台, 模組, 智慧, 關鍵, 光源"
105,加強(民間工業基礎技術及)南部產業高值化技術發展暨民生化學計量標準綱要計畫(4/4),能源,,,"雷射, 關鍵, 物質, 金屬, 材料"
105,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(3/3),能源,,,"儲能, 電池, 高能量, 動力, 鋰電池"
105,奈米材料產業技術發展綱要計畫(2/4),能源,,,"材料, 奈米, 淋巴, 腫瘤, 藥物"
105,石化產業高値化系統技術與應用發展計畫(3/4),能源,,,"國內, 材料, 製程, 石化, 關鍵"
105,能源國家型科技計畫-產業溫室氣體減量推動計畫(3/4),能源,,,"製造業, 量, 溫室, 氣體, 能力"
105,能源國家型科技計畫-再生能源產業推動計畫(4/4),能源,,,"國內, 能源, 風力機, 太陽, 光電"
105,材料與化工產業發展計畫(4/4),能源,,,"材料, 環境, 光電, 產品, 化工"
105,智慧電動車輛產業推動計畫(2/4),能源,,,"智慧, 車輛, 策略, 機車, 政策"
105,產業綠色成長推動計畫(4/4),能源,,,"綠色, 產品, 國際, 趨勢, 指標"
105,產業園區能資源整合及工業安全推動計畫(4/4),能源,,,"災害, 資源, 園區, 區域, 資訊"
